CountyIds,COUNTY,Latitude,Longitude,AdminUnit,Name,AcresBurned,Started,Extinguished,Duration,ArchiveYear,PercentContained,MajorIncident,time
55,tuolumne,37.857,-120.086,Stanislaus National Forest/Yosemite National Park,Rim Fire,257314.0,2013-08-17 15:25:00+00:00,2013-09-06 18:30:00+00:00,20 days 03:05:00,2013,100.0,False,2013-08-17
19,los angeles,34.585595,-118.423176,USFS Angeles National Forest/Los Angeles County/CAL FIRE,Powerhouse Fire,30274.0,2013-05-30 15:28:00+00:00,2013-06-08 18:30:00+00:00,9 days 03:02:00,2013,100.0,False,2013-05-30
33,riverside,33.7095,-116.72885,CAL FIRE Riverside Unit / San Bernardino National Forest,Mountain Fire,27531.0,2013-07-15 13:43:00+00:00,2013-07-30 18:00:00+00:00,15 days 04:17:00,2013,100.0,False,2013-07-15
31,placer,39.12,-120.65,Tahoe National Forest,American Fire,27440.0,2013-08-10 16:30:00+00:00,2013-08-30 08:00:00+00:00,19 days 15:30:00,2013,100.0,False,2013-08-10
56,ventura,0.0,0.0,Ventura County Fire/CAL FIRE,Springs Fire,24251.0,2013-05-02 07:01:00+00:00,2013-05-11 06:30:00+00:00,8 days 23:29:00,2013,100.0,True,2013-05-02
10,fresno,37.279,-119.318,Sierra National Forest,Aspen Fire,22992.0,2013-07-22 22:15:00+00:00,2013-09-24 20:15:00+00:00,63 days 22:00:00,2013,100.0,False,2013-07-22
33,riverside,33.86157,-116.90427,CAL FIRE Riverside Unit / San Bernardino National Forest,Silver Fire,20292.0,2013-08-07 14:05:00+00:00,2013-08-12 18:00:00+00:00,5 days 03:55:00,2013,100.0,True,2013-08-07
47,siskiyou,41.32,-123.176,Klamath National Forest,Salmon River Complex,14754.0,2013-07-31 22:00:00+00:00,2013-08-31 06:45:00+00:00,30 days 08:45:00,2013,100.0,False,2013-07-31
12,humboldt,41.035,-123.488,Six Rivers National Forest,Corral Complex,12503.0,2013-08-10 11:40:00+00:00,2013-08-12 12:00:00+00:00,2 days 00:20:00,2013,100.0,False,2013-08-10
52,tehama,40.04263,-121.85397,CAL FIRE Tehama-Glenn Unit,Deer Fire,11429.0,2013-08-23 14:15:00+00:00,2013-08-29 16:45:00+00:00,6 days 02:30:00,2013,100.0,True,2013-08-23
45,shasta,40.498332,-122.535496,CAL FIRE Shasta-Trinity Unit,Clover Fire,8073.0,2013-09-09 12:32:00+00:00,2013-09-15 07:30:00+00:00,5 days 18:58:00,2013,100.0,True,2013-09-09
37,san diego,32.95435,-116.47381,CAL FIRE San Diego Unit / Cleveland National Forest,Chariot Fire,7055.0,2013-07-06 12:55:00+00:00,2013-07-15 06:15:00+00:00,8 days 17:20:00,2013,100.0,True,2013-07-06
52,tehama,40.190062,-121.595555,CAL FIRE Butte Unit,Panther Fire,6965.0,2013-05-01 09:12:00+00:00,2013-05-09 09:00:00+00:00,7 days 23:48:00,2013,100.0,True,2013-05-01
"15,56",kern,34.7861,-118.9411,CAL FIRE / USFS Los Padres National Forest,Grand Fire,4346.0,2013-05-15 12:50:00+00:00,2013-05-21 19:45:00+00:00,6 days 06:55:00,2013,100.0,True,2013-05-15
"15,56",ventura,34.7861,-118.9411,CAL FIRE / USFS Los Padres National Forest,Grand Fire,4346.0,2013-05-15 12:50:00+00:00,2013-05-21 19:45:00+00:00,6 days 06:55:00,2013,100.0,True,2013-05-15
49,sonoma,38.8167,-122.8498,CAL FIRE Sonoma-Lake-Napa Unit,McCabe Fire,3505.0,2013-11-22 02:04:00+00:00,2013-11-27 18:15:00+00:00,5 days 16:11:00,2013,100.0,True,2013-11-22
33,riverside,34.288877,-116.941311,CAL FIRE/Riverside County Fire ,Summit Fire,3166.0,2013-05-01 12:38:00+00:00,2013-05-04 18:30:00+00:00,3 days 05:52:00,2013,100.0,True,2013-05-01
7,contra costa,37.90757,-121.882582,CAL FIRE Santa-Clara Unit,Morgan Fire,3111.0,2013-09-08 13:08:00+00:00,2013-09-14 17:30:00+00:00,6 days 04:22:00,2013,100.0,True,2013-09-08
37,san diego,33.121109999999994,-116.52579,CAL FIRE San Diego Unit,San Felipe Fire,2781.0,2013-05-23 12:20:00+00:00,2013-05-26 17:45:00+00:00,3 days 05:25:00,2013,100.0,True,2013-05-23
4,butte,39.446268,-121.38236,CAL FIRE Butte Unit,Swedes Fire,2462.0,2013-08-16 16:37:00+00:00,2013-08-22 18:00:00+00:00,6 days 01:23:00,2013,100.0,True,2013-08-16
37,san diego,33.341,-117.3092,Camp Pendleton Marine Corps Base,DeLuz Fire,2236.0,2013-10-05 12:45:00+00:00,2013-10-09 19:00:00+00:00,4 days 06:15:00,2013,100.0,False,2013-10-05
54,tulare,36.208,-118.444,Sequoia National Forest,Fish Fire,2060.0,2013-08-24 14:31:00+00:00,2013-09-24 20:15:00+00:00,31 days 05:44:00,2013,100.0,False,2013-08-24
42,santa barbara,34.55048,-119.82429,USFS Los Padres National Forest,White Fire,1984.0,2013-05-27 14:45:00+00:00,2013-05-30 19:30:00+00:00,3 days 04:45:00,2013,100.0,False,2013-05-27
22,mariposa,37.58202,-119.91071,CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest ,Carstens Fire,1708.0,2013-06-16 14:12:00+00:00,2013-06-26 11:15:00+00:00,9 days 21:03:00,2013,100.0,True,2013-06-16
"33,",riverside,33.62236,-117.40288,Cleveland National Forest / CAL FIRE Riverside Unit,Falls Fire,1383.0,2013-08-05 10:10:00+00:00,2013-08-09 18:45:00+00:00,4 days 08:35:00,2013,100.0,False,2013-08-05
37,san diego,33.04458,-116.5209,CAL FIRE San Diego Unit,General Fire,1271.0,2013-05-26 12:04:00+00:00,2013-05-31 06:15:00+00:00,4 days 18:11:00,2013,100.0,True,2013-05-26
55,tuolumne,38.25108,-120.02778,Stanislaus National Forest,Power Fire,1070.0,2013-08-05 06:00:00+00:00,2013-08-14 08:30:00+00:00,9 days 02:30:00,2013,100.0,False,2013-08-05
27,monterey,0.0,0.0,Los Padres National Forest / CAL FIRE San Benito-Monterey Unit,Pfeiffer Fire,917.0,2013-12-16 00:20:00+00:00,2013-12-20 20:00:00+00:00,4 days 19:40:00,2013,100.0,False,2013-12-16
15,kern,35.707,-118.588,Sequoia National Forest,Shirley Fire,794.0,2013-08-18 23:12:00+00:00,2013-08-24 13:45:00+00:00,5 days 14:33:00,2013,100.0,False,2013-08-18
15,kern,34.882,-118.9194,CAL FIRE / Kern County Fire / State Parks / US Forest Service,Rancho Fire,712.0,2013-07-19 12:00:00+00:00,2013-07-22 18:45:00+00:00,3 days 06:45:00,2013,100.0,True,2013-07-19
19,los angeles,34.49149,-118.610044,CAL FIRE/Los Angeles County ,Lake Fire,712.0,2013-05-17 13:23:00+00:00,2013-05-18 19:00:00+00:00,1 days 05:37:00,2013,100.0,False,2013-05-17
