value,value_std_dev,nvalue,qcflag,time
368.84,0.09,15,pass,2000-01-01
368.82,0.16,13,pass,2000-01-02
368.75,0.12,12,pass,2000-01-03
368.82,0.13,13,pass,2000-01-04
368.66,0.1,14,pass,2000-01-05
368.46,0.03,14,pass,2000-01-06
368.64,0.23,14,pass,2000-01-07
369.0,0.04,14,pass,2000-01-08
368.83,0.05,14,pass,2000-01-09
368.8,0.09,12,pass,2000-01-10
368.96,0.09,9,pass,2000-01-11
368.71,0.13,14,pass,2000-01-12
369.14,0.14,7,pass,2000-01-13
368.84,0.08,9,pass,2000-01-14
368.82,0.04,14,pass,2000-01-15
370.02,0.24,9,pass,2000-01-16
369.63,0.14,12,pass,2000-01-20
369.83,0.26,12,pass,2000-01-21
370.65,0.19,6,pass,2000-01-22
369.87,0.16,13,pass,2000-01-23
369.57,0.1,14,pass,2000-01-24
370.59,0.38,15,pass,2000-01-27
370.63,0.11,14,pass,2000-01-28
369.75,0.17,9,pass,2000-01-29
369.34,0.11,15,pass,2000-01-30
368.98,0.16,9,pass,2000-01-31
369.42,0.1,3,pass,2000-02-01
369.39,0.15,8,pass,2000-02-04
369.15,0.05,6,pass,2000-02-05
369.38,0.08,10,pass,2000-02-06
369.52,0.03,10,pass,2000-02-10
369.93,0.01,3,pass,2000-02-12
369.82,0.09,7,pass,2000-02-14
369.82,0.07,7,pass,2000-02-15
369.51,0.13,11,pass,2000-02-17
370.76,0.19,5,pass,2000-02-19
369.14,0.03,15,pass,2000-02-21
369.01,0.11,13,pass,2000-02-22
368.9,0.13,14,pass,2000-02-23
369.01,0.15,15,pass,2000-02-24
370.24,0.09,14,pass,2000-02-25
369.84,0.16,14,pass,2000-02-26
370.27,0.12,13,pass,2000-02-27
369.5,0.11,13,pass,2000-02-28
369.83,0.26,14,pass,2000-02-29
369.74,0.17,8,pass,2000-03-01
369.95,0.12,10,pass,2000-03-02
370.8,0.09,12,pass,2000-03-03
370.66,0.14,13,pass,2000-03-04
371.29,0.17,10,pass,2000-03-05
369.84,0.14,7,pass,2000-03-06
369.64,0.16,11,pass,2000-03-07
369.86,0.13,14,pass,2000-03-08
369.58,0.06,12,pass,2000-03-09
369.67,0.14,6,pass,2000-03-10
370.64,0.05,3,pass,2000-03-11
370.28,0.18,11,pass,2000-03-12
370.44,0.28,14,pass,2000-03-13
370.03,0.15,15,pass,2000-03-14
370.87,0.19,13,pass,2000-03-15
370.77,0.17,9,pass,2000-03-16
370.82,0.15,11,pass,2000-03-17
371.29,0.15,10,pass,2000-03-18
371.47,0.23,14,pass,2000-03-19
371.03,0.26,15,pass,2000-03-20
370.85,0.16,15,pass,2000-03-21
370.71,0.05,5,pass,2000-03-23
370.94,0.2,4,pass,2000-03-24
370.6,0.43,13,pass,2000-03-25
371.07,0.18,10,pass,2000-03-26
371.22,0.17,7,pass,2000-03-27
371.18,0.22,8,pass,2000-03-28
370.79,0.11,13,pass,2000-03-29
370.74,0.12,7,pass,2000-03-30
371.01,0.2,12,pass,2000-03-31
371.91,0.16,10,pass,2000-04-01
