"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2020-01",,"0","0",,,,,"0","1","0","0","0","31",,,,"68",,"1293",,,,"523",,,,,,,,,,,,,,,,,,,,,"48.1","55.6","40.6",,,,,,,,
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2020-02",,"2","2",,,,,"0","0","0","11","0","35",,,,"78",,"1533",,,,"240",,,,,,,,,,,,,,,,,,,,,"56.8","66.5","47.1",,,,,,,,
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2020-03",,"9","7",,,,,"0","0","0","10","0","37",,,,"79",,"1892",,,,"358",,,,,,,,,,,,,,,,,,,,,"53.7","62.6","44.7",,,,,,,,
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2020-04",,"108","99",,,,,"0","0","0","22","1","38",,,,"92",,"2016",,,,"124",,,,,,,,,,,,,,,,,,,,,"64.1","75.4","52.9",,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2020-01",,"0","0","3","0",,,"0","0","0","5","0","34",,,"0.02","72",,"1053",,,,"367",,,,,,,,,,,,,,,,,,"0.04",,,"53.1","65.1","41.2",,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2020-02",,"0","0","1","0",,,"0","0","0","17","0","34",,,"0.03","81",,"1283",,,,"230",,,,,,,,,,,,,,,,,,"0.03",,,"57.1","71.1","43.1",,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2020-03",,"0","0","5","5",,,"0","0","0","15","0","38",,,"0.61","82",,"1518",,,,"235",,,,,,,,,,,,,,,,,,"1.38",,,"57.4","68.2","46.6",,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2020-04",,"137","137","0","0",,,"0","0","0","26","7","41",,,"0.00","99",,"1594",,,,"76",,,,,,,,,,,,,,,,,,"0.00",,,"67.0","79.5","54.5",,,,,,,,
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2020-01",,"0","0",,,,,"0","1","0","0","0","32",,,,"65",,"1513",,,,"544",,,,,,,,,,,,,,,,,,,,,"47.5","55.4","39.5",,,,,,,,
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2020-02",,"0","0",,,,,"0","3","0","9","0","28",,,,"76",,"1866",,,,"353",,,,,,,,,,,,,,,,,,,,,"52.8","65.4","40.3",,,,,,,,
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2020-03",,"0","0",,,,,"0","3","0","5","0","31",,,,"82",,"2351",,,,"485",,,,,,,,,,,,,,,,,,,,,"49.4","59.2","39.6",,,,,,,,
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2020-04",,"26","26",,,,,"0","0","0","15","0","35",,,,"87",,"2598",,,,"247",,,,,,,,,,,,,,,,,,,,,"57.6","69.3","46.0",,,,,,,,
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2020-01",,"0","0",,,,,"0","2","0","0","0","31",,,,"62",,"1758",,,,"631",,,,,,,,,,,,,,,,,,,,,"44.6","49.5","39.8",,,,,,,,
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2020-02",,"0","0",,,,,"0","2","0","3","0","31",,,,"73",,"2116",,,,"357",,,,,,,,,,,,,,,,,,,,,"52.7","60.5","44.8",,,,,,,,
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2020-03",,"0","0",,,,,"0","2","0","4","0","32",,,,"75",,"2650",,,,"534",,,,,,,,,,,,,,,,,,,,,"47.8","54.7","40.8",,,,,,,,
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2020-04",,"26","26",,,,,"0","0","0","13","0","34",,,,"85",,"2882",,,,"232",,,,,,,,,,,,,,,,,,,,,"58.2","67.7","48.6",,,,,,,,
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2020-01",,"0","0","3","1",,,"0","0","0","4","0","41",,,"0.43","77",,"739",,,,"272",,,,,,,,,,,,,,,,,,"0.45",,,"55.5","65.0","46.1",,,,,,,,
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2020-02",,"4","4","2","0",,,"0","0","0","12","0","39",,,"0.03","81",,"943",,,,"204",,,,,,,,,,,,,,,,,,"0.04",,,"58.1","69.1","47.2",,,,,,,,
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2020-03",,"4","0","12","6",,,"0","0","0","5","0","41",,,"1.56","75",,"1175",,,,"232",,,,,,,,,,,,,,,,,,"3.68",,,"57.5","65.9","49.1",,,,,,,,
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2020-04",,,,"6","3",,,,,,,,,,,"1.67",,,,,,,,,,,,,,,,,,,,,,,,,"2.84",,,,,,,,,,,,,
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2020-01",,"2","2","2","1",,,"0","0","0","10","0","44",,,"0.45","77",,"619",,,,"232",,,,,,,,,,,,,,,,,,"0.50",,,"57.6","66.3","48.8",,,,,,,,
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2020-02",,"18","16",,,,,"0","0","0","10","0","41",,,,"86",,"773",,,,"154",,,,,,,,,,,,,,,,,,"0.09",,,"59.5","68.7","50.3",,,,,,,,
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2020-03",,"18","0","11","6",,,"0","0","0","5","0","41",,,"1.41","77",,"990",,,,"217",,,,,,,,,,,,,,,,,,"4.39",,,"57.7","65.4","50.0",,,,,,,,
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2020-04",,"45","27","7","4",,,"0","0","0","10","0","49",,,"1.30","84",,"1096",,,,"106",,,,,,,,,,,,,,,,,,"2.64",,,"62.3","69.5","55.0",,,,,,,,
"USR0000CGOR","GORDON CALIFORNIA, CA US","40.7586","-120.8961","1889.8","2020-01",,"0","0",,,,,"0","31","3","0","0","11",,,,"61",,"4003",,,,"1011",,,,,,,,,,,,,,,,,,,,,"32.4","41.7","23.1",,,,,,,,
"USR0000CGOR","GORDON CALIFORNIA, CA US","40.7586","-120.8961","1889.8","2020-02",,"0","0",,,,,"0","28","1","0","0","5",,,,"63",,"4862",,,,"859",,,,,,,,,,,,,,,,,,,,,"35.4","48.9","21.9",,,,,,,,
"USR0000CGOR","GORDON CALIFORNIA, CA US","40.7586","-120.8961","1889.8","2020-03",,"0","0",,,,,"0","31","2","0","0","11",,,,"62",,"5813",,,,"951",,,,,,,,,,,,,,,,,,,,,"34.3","45.8","22.8",,,,,,,,
