X,Y,ObjectId,AQSID,CountryCode,DataSource,EPARegion,Elevation,GMTOffset,Latitude,LocalTimeString,Longitude,OZONE,OZONEPM_AQI,OZONEPM_AQI_LABEL,OZONEPM_AQI_SORT,OZONE_AQI,OZONE_AQI_LABEL,OZONE_AQI_SORT,OZONE_Measured,OZONE_Unit,PM10,PM10_AQI,PM10_AQI_LABEL,PM10_AQI_SORT,PM10_Measured,PM10_Unit,PM25,PM25_AQI,PM25_AQI_LABEL,PM25_AQI_SORT,PM25_Measured,PM25_Unit,PM_AQI,PM_AQI_LABEL,PM_AQI_SORT,ReportingArea_PipeDelimited,SiteName,StateName,Status
4098783.651,-142500.802,10317792,NRB000043,,Nairobi EPA,,0,3,-1.28,Wed 11/11/2020 02:00 AM EAT,36.82,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Spare Unit,,Active
4104695.8292,-145977.085299999,10317793,NRB000042,,Nairobi EPA,,0,3,-1.31122,Wed 11/11/2020 02:00 AM EAT,36.87311,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Viwandani,,Active
-10740320.8768,3654702.0733,10317794,483951076,US,Texas Commission on Environmental Quality,R6,136.9,-6,31.168889,Tue 11/10/2020 05:00 PM CST,-96.481944,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Franklin Oak Grove,TX,Active
4102850.152,-139506.800700001,10317795,NRB000045,,Nairobi EPA,,0,3,-1.253111,Wed 11/11/2020 02:00 AM EAT,36.85653,,,ND,-999,,ND,-999,0,,,,ND,-999,1,,,,ND,-999,1,,,ND,-999,,St Scholastica Catholic School,,Active
15684232.3058,4446704.5751,10317796,007204510,,Japan Ministry of Environment,,0,9,37.054489,Wed 11/11/2020 08:00 AM JST,140.893856,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 007204510,,Active
-11749249.0516,4906393.9196,10317797,080699991,US,EPA Office of Atmospheric Programs,R3,2744.7,-7,40.2778,Tue 11/10/2020 04:00 PM MST,-105.5453,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Rocky Mtn NP Collocated,CO,Active
-13062593.0644,6075009.5679,10317798,530639995,US,Spokane Regional Clean Air Agency,R10,577.4,-8,47.808226,Tue 11/10/2020 03:00 PM PST,-117.34327,,27,27,27,,ND,-999,0,,,,ND,-999,0,,7.6,27,27,27,1,UG/M3,27,27,27,Spokane,Colbert-Greenbluff,WA,Active
-13053062.1123,6051131.2194,10317799,530639997,US,Washington Department of Ecology,R10,611.2,-8,47.663963,Tue 11/10/2020 03:00 PM PST,-117.257652,,28,28,28,,ND,-999,0,,,,ND,-999,0,,7,28,28,28,1,UG/M3,28,28,28,Spokane,Spokane-E Broadway Ave (US),WA,Active
-13033787.2537,6050570.0762,10317800,530639996,US,Washington Department of Ecology,R10,650.3,-8,47.660568,Tue 11/10/2020 03:00 PM PST,-117.084503,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Spokane,Liberty Lake-E Valeyway (US),WA,Inactive
14806868.2957,4228668.8291,10317801,032201060,,Japan Ministry of Environment,,0,9,35.475353,Wed 11/11/2020 08:00 AM JST,133.012361,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 032201060,,Active
