,CountyIds,Counties,Latitude,Longitude,AdminUnit,Name,AcresBurned,Started,Extinguished,ArchiveYear,PercentContained,MajorIncident,time,value,value_std_dev,nvalue,qcflag
0,55,Tuolumne,37.857,-120.086,Stanislaus National Forest/Yosemite National Park,Rim Fire,257314.0,2013-08-17 15:25:00+00:00,2013-09-06 18:30:00+00:00,2013,100.0,False,2013-08-17,394.91,0.15,6,pass
1,36,San Bernardino,34.287,-117.451,San Bernardino National Forest,Cleghorn Fire,110.0,2013-08-17 17:25:00+00:00,2013-08-18 20:55:00+00:00,2013,100.0,False,2013-08-17,394.91,0.15,6,pass
2,5,Calaveras,38.06231,-120.45233,CAL FIRE Tuolumne-Calaveras Unit,Bridges Fire,46.0,2013-08-17 10:11:00+00:00,2013-08-19 07:10:00+00:00,2013,100.0,True,2013-08-17,394.91,0.15,6,pass
3,19,Los Angeles,34.585595,-118.423176,USFS Angeles National Forest/Los Angeles County/CAL FIRE,Powerhouse Fire,30274.0,2013-05-30 15:28:00+00:00,2013-06-08 18:30:00+00:00,2013,100.0,False,2013-05-30,399.91,0.08,5,pass
4,39,San Joaquin,38.04993,-120.90325,CAL FIRE Tuolumne-Calaveras Unit ,Shelton Fire,303.0,2013-05-30 11:20:00+00:00,2013-05-30 13:25:00+00:00,2013,100.0,False,2013-05-30,399.91,0.08,5,pass
5,33,Riverside,33.7095,-116.72885,CAL FIRE Riverside Unit / San Bernardino National Forest,Mountain Fire,27531.0,2013-07-15 13:43:00+00:00,2013-07-30 18:00:00+00:00,2013,100.0,False,2013-07-15,397.51,0.22,13,pass
6,31,Placer,39.12,-120.65,Tahoe National Forest,American Fire,27440.0,2013-08-10 16:30:00+00:00,2013-08-30 08:00:00+00:00,2013,100.0,False,2013-08-10,395.27,0.15,4,pass
7,12,Humboldt,41.035,-123.488,Six Rivers National Forest,Corral Complex,12503.0,2013-08-10 11:40:00+00:00,2013-08-12 12:00:00+00:00,2013,100.0,False,2013-08-10,395.27,0.15,4,pass
8,56,Ventura,0.0,0.0,Ventura County Fire/CAL FIRE,Springs Fire,24251.0,2013-05-02 07:01:00+00:00,2013-05-11 06:30:00+00:00,2013,100.0,True,2013-05-02,399.24,0.11,11,pass
9,47,Siskiyou,41.32,-123.176,Klamath National Forest,Salmon River Complex,14754.0,2013-07-31 22:00:00+00:00,2013-08-31 06:45:00+00:00,2013,100.0,False,2013-07-31,396.29,0.07,15,pass
10,47,Siskiyou,0.0,0.0,CAL FIRE Siskiyou Unit,Trout Fire,40.0,2013-07-31 15:25:00+00:00,2013-07-31 19:25:00+00:00,2013,100.0,False,2013-07-31,396.29,0.07,15,pass
11,52,Tehama,40.04263,-121.85397,CAL FIRE Tehama-Glenn Unit,Deer Fire,11429.0,2013-08-23 14:15:00+00:00,2013-08-29 16:45:00+00:00,2013,100.0,True,2013-08-23,395.29,0.11,13,pass
12,45,Shasta,40.498332,-122.535496,CAL FIRE Shasta-Trinity Unit,Clover Fire,8073.0,2013-09-09 12:32:00+00:00,2013-09-15 07:30:00+00:00,2013,100.0,True,2013-09-09,393.64,0.09,10,pass
13,37,San Diego,32.710918,-116.746023,CAL FIRE San Diego Unit / Cleveland National Forest,Lyon Fire,263.0,2013-09-09 13:09:00+00:00,2013-09-12 18:15:00+00:00,2013,100.0,True,2013-09-09,393.64,0.09,10,pass
14,52,Tehama,40.190062,-121.595555,CAL FIRE Butte Unit,Panther Fire,6965.0,2013-05-01 09:12:00+00:00,2013-05-09 09:00:00+00:00,2013,100.0,True,2013-05-01,399.45,0.09,14,pass
15,33,Riverside,34.288877,-116.941311,CAL FIRE/Riverside County Fire ,Summit Fire,3166.0,2013-05-01 12:38:00+00:00,2013-05-04 18:30:00+00:00,2013,100.0,True,2013-05-01,399.45,0.09,14,pass
16,11,Glenn,39.514139,-122.560862,CAL FIRE Tehama-Glenn Unit,306 Fire,217.0,2013-05-01 19:00:00+00:00,2013-05-05 18:00:00+00:00,2013,100.0,True,2013-05-01,399.45,0.09,14,pass
17,49,Sonoma,38.638828,-122.655616,CAL FIRE Sonoma-Lake-Napa Unit,Yellow Fire,125.0,2013-05-01 02:01:00+00:00,2013-05-03 06:15:00+00:00,2013,100.0,True,2013-05-01,399.45,0.09,14,pass
18,4,Butte,0.0,0.0,CAL FIRE Butte Unit,Cedar Fire,72.0,2013-05-01 04:16:00+00:00,2013-05-04 19:00:00+00:00,2013,100.0,True,2013-05-01,399.45,0.09,14,pass
19,"15,56",Kern,34.7861,-118.9411,CAL FIRE / USFS Los Padres National Forest,Grand Fire,4346.0,2013-05-15 12:50:00+00:00,2013-05-21 19:45:00+00:00,2013,100.0,True,2013-05-15,399.56,0.11,7,pass
20,"15,56",Ventura,34.7861,-118.9411,CAL FIRE / USFS Los Padres National Forest,Grand Fire,4346.0,2013-05-15 12:50:00+00:00,2013-05-21 19:45:00+00:00,2013,100.0,True,2013-05-15,399.56,0.11,7,pass
21,49,Sonoma,38.8167,-122.8498,CAL FIRE Sonoma-Lake-Napa Unit,McCabe Fire,3505.0,2013-11-22 02:04:00+00:00,2013-11-27 18:15:00+00:00,2013,100.0,True,2013-11-22,395.05,0.18,13,pass
22,23,Mendocino,39.0442,-123.1478,CAL FIRE Mendocino Unit,Retek Fire,82.0,2013-11-22 10:06:00+00:00,2013-11-22 17:30:00+00:00,2013,100.0,False,2013-11-22,395.05,0.18,13,pass
23,7,Contra Costa,37.90757,-121.882582,CAL FIRE Santa-Clara Unit,Morgan Fire,3111.0,2013-09-08 13:08:00+00:00,2013-09-14 17:30:00+00:00,2013,100.0,True,2013-09-08,393.73,0.22,12,pass
24,54,Tulare,36.258,-118.459,Sequoia National Forest,Angora Fire,134.0,2013-09-08 11:53:00+00:00,2013-09-24 20:15:00+00:00,2013,100.0,False,2013-09-08,393.73,0.22,12,pass
25,37,San Diego,33.121109999999994,-116.52579,CAL FIRE San Diego Unit,San Felipe Fire,2781.0,2013-05-23 12:20:00+00:00,2013-05-26 17:45:00+00:00,2013,100.0,True,2013-05-23,399.7,0.12,13,pass
26,37,San Diego,33.341,-117.3092,Camp Pendleton Marine Corps Base,DeLuz Fire,2236.0,2013-10-05 12:45:00+00:00,2013-10-09 19:00:00+00:00,2013,100.0,False,2013-10-05,393.74,0.29,9,pass
27,54,Tulare,36.208,-118.444,Sequoia National Forest,Fish Fire,2060.0,2013-08-24 14:31:00+00:00,2013-09-24 20:15:00+00:00,2013,100.0,False,2013-08-24,394.86,0.25,14,pass
28,36,San Bernardino,33.642,-116.706,San Bernardino National Forest,Little Fire,97.0,2013-08-24 15:09:00+00:00,2013-08-30 08:00:00+00:00,2013,100.0,False,2013-08-24,394.86,0.25,14,pass
29,9,El Dorado,38.89555,-120.84716,CAL FIRE Amador-El Dorado Unit,Empire Fire,38.0,2013-08-24 14:54:00+00:00,2013-08-24 11:45:00+00:00,2013,100.0,False,2013-08-24,394.86,0.25,14,pass
30,42,Santa Barbara,34.55048,-119.82429,USFS Los Padres National Forest,White Fire,1984.0,2013-05-27 14:45:00+00:00,2013-05-30 19:30:00+00:00,2013,100.0,False,2013-05-27,400.25,0.01,4,pass
31,22,Mariposa,37.58202,-119.91071,CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest ,Carstens Fire,1708.0,2013-06-16 14:12:00+00:00,2013-06-26 11:15:00+00:00,2013,100.0,True,2013-06-16,398.47,0.15,10,pass
32,20,Madera,37.015575,-119.78106,CAL FIRE Madera-Mariposa-Merced Unit,Rolling Fire,482.0,2013-06-16 18:17:00+00:00,2013-06-18 19:30:00+00:00,2013,100.0,True,2013-06-16,398.47,0.15,10,pass
33,"33,",Riverside,33.62236,-117.40288,Cleveland National Forest / CAL FIRE Riverside Unit,Falls Fire,1383.0,2013-08-05 10:10:00+00:00,2013-08-09 18:45:00+00:00,2013,100.0,False,2013-08-05,395.35,0.16,4,pass
34,55,Tuolumne,38.25108,-120.02778,Stanislaus National Forest,Power Fire,1070.0,2013-08-05 06:00:00+00:00,2013-08-14 08:30:00+00:00,2013,100.0,False,2013-08-05,395.35,0.16,4,pass
35,37,San Diego,33.04458,-116.5209,CAL FIRE San Diego Unit,General Fire,1271.0,2013-05-26 12:04:00+00:00,2013-05-31 06:15:00+00:00,2013,100.0,True,2013-05-26,400.63,0.25,14,pass
36,27,Monterey,0.0,0.0,Los Padres National Forest / CAL FIRE San Benito-Monterey Unit,Pfeiffer Fire,917.0,2013-12-16 00:20:00+00:00,2013-12-20 20:00:00+00:00,2013,100.0,False,2013-12-16,396.7,0.13,14,pass
37,15,Kern,35.707,-118.588,Sequoia National Forest,Shirley Fire,794.0,2013-08-18 23:12:00+00:00,2013-08-24 13:45:00+00:00,2013,100.0,False,2013-08-18,395.03,0.24,10,pass
38,32,Plumas,40.00842,-120.764666,Plumas National Forest,Plumas Lightning Complex (Hough),513.0,2013-08-18 18:30:00+00:00,2013-08-25 13:15:00+00:00,2013,100.0,False,2013-08-18,395.03,0.24,10,pass
