date,county,latitude,longitude,fire_name,acres_burned,fire_bins,duration,started,extinguished,pct_contained,major_incident,admin_unit,avg_wind_speed,avg_monthly_temp,total_monthly_precipitation,highest_daily_precipitation,total_monthly_snowfall,dsnd,dt00,dx32,co2_measured_mole_fraction,value_std_dev,co2_number_of_measurements,qc_flag,temp_range,month,season
2017-12-01,santa barbara,34.71796,-120.27077,Drum Fire,14.0,1,24.0,2017-12-16 12:21:00+00:00,2018-01-09 13:49:00+00:00,100.0,False,Santa Barbara County Fire,222.5470588235294,63.357692307692304,265.0769230769231,0.0,0.007272727272727274,0.16062632891254802,0.0,0.0,407.7,0.06,7,pass,13.053846153846166,12,winter
2017-12-01,santa barbara,34.605358,-120.414875,Coast Fire,14.0,1,26.0,2017-12-14 12:59:00+00:00,2018-01-09 13:49:00+00:00,100.0,False,Santa Barbara County Fire,222.5470588235294,63.357692307692304,265.0769230769231,0.0,0.007272727272727274,0.16062632891254802,0.0,0.0,406.14,0.16,10,pass,13.053846153846166,12,winter
2017-12-01,ventura,34.415209999999995,-119.09123999999998,Thomas Fire,281893.0,6,464.0,2017-12-04 18:28:00+00:00,2019-03-14 11:24:00+00:00,100.0,True,US Forest Service - Los Padres National Forest ,446.0055555555557,63.62916666666666,281.6666666666667,0.0,0.0009090909090909092,0.16062632891254802,0.0,0.0,407.21,0.24,14,pass,13.908333333333339,12,winter
2017-12-01,riverside,33.965140000000005,-117.4764,Riverdale Fire,40.0,1,36.0,2017-12-04 12:26:00+00:00,2018-01-09 13:47:00+00:00,100.0,False,CAL FIRE/Riverside County Fire and Riverside City Fire Department ,534.6619047619048,63.65,252.45454545454547,0.0,0.0006666666666666666,0.0,0.0,0.0,407.21,0.24,14,pass,13.145454545454541,12,winter
2017-12-01,riverside,33.59257,-117.14979,Liberty Fire,300.0,4,33.0,2017-12-07 13:14:00+00:00,2018-01-09 13:47:00+00:00,100.0,False,Murrieta Fire,534.6619047619048,63.65,252.45454545454547,0.0,0.0006666666666666666,0.0,0.0,0.0,406.61,0.25,15,pass,13.145454545454541,12,winter
2017-12-01,riverside,33.9885,-117.38417,Riverbottom Fire,45.0,1,19.0,2017-12-21 11:16:00+00:00,2018-01-09 13:49:00+00:00,100.0,False,City of Riverside Fire Department,534.6619047619048,63.65,252.45454545454547,0.0,0.0006666666666666666,0.0,0.0,0.0,406.76,0.26,15,pass,13.145454545454541,12,winter
2017-12-01,riverside,33.88994,-116.91023,Longhorn Fire,19.0,1,26.0,2017-12-13 15:27:00+00:00,2018-01-09 13:49:00+00:00,100.0,False,CAL FIRE/Riverside County Fire Department,534.6619047619048,63.65,252.45454545454547,0.0,0.0006666666666666666,0.0,0.0,0.0,405.92,0.16,10,pass,13.145454545454541,12,winter
2017-07-01,lassen,40.07045,-120.14013,Long Valley Fire,83733.0,6,181.0,2017-07-11 14:15:00+00:00,2018-01-09 11:52:00+00:00,100.0,False,Bureau of Land Management,1550.46875,79.59583333333333,7.25,0.0,0.334,0.0,0.0,0.0,407.23,0.19,9,pass,17.57499999999999,07,summer
2017-07-01,lassen,40.6361,-120.9643,Antelope Fire,0.0,1,186.0,2017-07-06 13:00:00+00:00,2018-01-09 11:45:00+00:00,100.0,False,Lassen National Forest,1550.46875,79.59583333333333,7.25,0.0,0.334,0.0,0.0,0.0,407.74,0.43,13,pass,17.57499999999999,07,summer
2017-07-01,san diego,32.84796,-116.85396,Jennings Fire,400.0,4,181.0,2017-07-11 13:45:00+00:00,2018-01-09 11:52:00+00:00,100.0,True,"Unified Command: CAL FIRE San Diego Unit, Alpine Fire Protection District and  Lakeside Fire Protection District",373.0723809523809,81.75394736842105,0.02631578947368421,0.0,0.07582417582417582,0.0,0.0,0.0,407.23,0.19,9,pass,11.276315789473685,07,summer
2017-07-01,san diego,33.34659,-116.66107,Lost Fire,255.0,4,263.0,2017-07-22 15:00:00+00:00,2018-04-12 14:52:00+00:00,100.0,False,Unified Command: CAL FIRE San Diego County Fire Authority and Cleveland National Forest - USFS,373.0723809523809,81.75394736842105,0.02631578947368421,0.0,0.07582417582417582,0.0,0.0,0.0,406.43,0.09,14,pass,11.276315789473685,07,summer
2017-07-01,santa clara,37.39801,-121.8179,Lariat Fire,101.0,3,181.0,2017-07-11 16:51:00+00:00,2018-01-09 11:53:00+00:00,100.0,False,San Jose Fire Department,224.30454545454543,78.29374999999999,3.25,0.0,0.0,0.0,0.0,0.0,407.23,0.19,9,pass,11.362499999999997,07,summer
2017-07-01,santa clara,37.44485,-121.84108,Weller Fire,51.0,2,166.0,2017-07-26 23:19:00+00:00,2018-01-09 12:07:00+00:00,100.0,False,CAL FIRE Santa Clara Unit,224.30454545454543,78.29374999999999,3.25,0.0,0.0,0.0,0.0,0.0,406.66,0.12,15,pass,11.362499999999997,07,summer
2017-07-01,santa clara,37.25014,-121.68562,Felipe Fire,70.0,2,182.0,2017-07-10 15:54:00+00:00,2018-01-09 11:52:00+00:00,100.0,False,CAL FIRE Santa Clara Unit,224.30454545454543,78.29374999999999,3.25,0.0,0.0,0.0,0.0,0.0,407.26,0.16,6,pass,11.362499999999997,07,summer
2017-07-01,santa clara,36.96607,-121.55552,Castro Fire,78.0,2,169.0,2017-07-23 16:07:00+00:00,2018-01-09 12:04:00+00:00,100.0,False,CAL FIRE Santa Clara Unit,224.30454545454543,78.29374999999999,3.25,0.0,0.0,0.0,0.0,0.0,407.27,0.3,12,pass,11.362499999999997,07,summer
2017-07-01,mariposa,37.61757,-120.21321,Detwiler Fire,81826.0,6,176.0,2017-07-16 15:56:00+00:00,2018-01-09 11:57:00+00:00,100.0,True,CAL FIRE Madera-Mariposa-Merced Unit,1100.5214285714285,80.84375000000001,8.75,0.0,0.0,0.16062632891254802,0.0,0.0,406.48,0.05,8,pass,13.012500000000017,07,summer
